symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,CAct,MPC,XDt,YPC,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series
ABSL10BANK,BSE Top 10 Banks Index,164.96,168.77,163.8,163.94,-0.43,-0.26,611218,101119905.92,164.6302,214.42,150,-,-,Infinity,-2.0669056152927165,164.37,0,0,-1.23,,24-Apr-2026,-,-2.0669056152927165,-,Infinity,23.54257998321052,-9.293333333333331,https://nsearchives.nseindia.com/today/ABSL10BANKEQN.svg,https://nsearchives.nseindia.com/30d/ABSL10BANK-EQ.svg,,EQ
AXISILVER,Axis Silver ETF,259.43,264.81,259.43,261.16,-4.93,-1.85,344714,90218548.08,266.359,390.01,97.01,-,-,166.73475640894702,9.080277336897518,266.09,0,172.35,12.35,23-May-2025,24-Apr-2026,-,9.080277336897518,-,166.73475640894702,33.037614420143065,-169.2093598598083,https://nsearchives.nseindia.com/today/AXISILVEREQN.svg,https://nsearchives.nseindia.com/30d/AXISILVER-EQ.svg,https://nsearchives.nseindia.com/365d/AXISILVER-EQ.svg,EQ
ALPHA,NIFTY Alpha 50 Index,50.98,51.08,50.65,50.95,0.14,0.28,1625452,82670488.72,50.6567,53.6,42,-,-,5.530240265120136,3.937168502651978,50.81,0,5.39,4.46,23-May-2025,24-Apr-2026,-,3.937168502651978,-,5.530240265120136,4.944029850746267,-21.309523809523814,https://nsearchives.nseindia.com/today/ALPHAEQN.svg,https://nsearchives.nseindia.com/30d/ALPHA-EQ.svg,https://nsearchives.nseindia.com/365d/ALPHA-EQ.svg,EQ
SILVERADD,DSP Silver ETF,255.56,256.09,253.06,254.23,-4.14,-1.60,301631,76722861.16,258.8369,390,93.91,-,-,167.89251844046362,9.412119125494911,258.37,0,173.44,12.54,23-May-2025,24-Apr-2026,-,9.412119125494911,-,167.89251844046362,34.812820512820515,-170.71664359493133,https://nsearchives.nseindia.com/today/SILVERADDEQN.svg,https://nsearchives.nseindia.com/30d/SILVERADD-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERADD-EQ.svg,EQ
SILVERAG,Mirae Asset Silver ETF,257.27,258.06,255.28,255.5,-5.36,-2.05,269052,68958027.6,260.9665,380,95.21,-,-,Infinity,8.746541817407964,260.86,0,0,12.43,,24-Apr-2026,-,8.746541817407964,-,Infinity,32.76315789473684,-168.3541644785212,https://nsearchives.nseindia.com/today/SILVERAGEQN.svg,https://nsearchives.nseindia.com/30d/SILVERAG-EQ.svg,,EQ
SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,45.97,45.97,45.4,45.55,-0.01,-0.02,1501562,68531289.68,45.4835,54.5,37.34,-,-,0.5296843963804786,3.428701180744773,45.56,0,1.11,5.12,23-May-2025,24-Apr-2026,-,3.428701180744773,-,0.5296843963804786,16.42201834862386,-21.98714515265129,https://nsearchives.nseindia.com/today/SMALLCAPEQN.svg,https://nsearchives.nseindia.com/30d/SMALLCAP-EQ.svg,https://nsearchives.nseindia.com/365d/SMALLCAP-EQ.svg,EQ
MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,23.19,23.3,22.98,23.24,0.06,0.26,2791566,64875993.84,23.151,23.61,19.6,-,-,8.852459016393428,2.6955368979231085,23.18,0,9.34,3.76,23-May-2025,24-Apr-2026,-,2.6955368979231085,-,8.852459016393428,1.5671325709445192,-18.571428571428555,https://nsearchives.nseindia.com/today/MIDCAPETFEQN.svg,https://nsearchives.nseindia.com/30d/MIDCAPETF-EQ.svg,https://nsearchives.nseindia.com/365d/MIDCAPETF-EQ.svg,EQ
GOLDBETA,Gold,132.5,132.55,131.65,132.45,-0.35,-0.26,489545,64585671.85,132.5767,149.35,79.1,25-MAR-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER UNIT TO RE 1/- PER UNIT,Infinity,4.786392405063277,132.8,0,0,5.31,,24-Apr-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER UNIT TO RE 1/- PER UNIT,4.786392405063277,25-MAR-21,Infinity,11.315701372614667,-67.44627054361567,https://nsearchives.nseindia.com/today/GOLDBETAEQN.svg,https://nsearchives.nseindia.com/30d/GOLDBETA-EQ.svg,,EQ
NIFTY1,Nifty 50,264.9,266.89,263.28,264.37,-0.53,-0.20,238674,63303505.02,265.2328,320,244.8,27-JUL-17, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 1/- PER SHARE,-2.9229243931994198,-0.6202541162318538,264.9,0,-2.22,0.33,23-May-2025,24-Apr-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 1/- PER SHARE,-0.6202541162318538,27-JUL-17,-2.9229243931994198,17.384375,-7.994281045751631,https://nsearchives.nseindia.com/today/NIFTY1EQN.svg,https://nsearchives.nseindia.com/30d/NIFTY1-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTY1-EQ.svg,EQ
PVTBANIETF,Nifty Private Bank Index,27.18,27.2,26.87,26.97,-0.17,-0.63,2253872,60967237.6,27.0963,30.32,24.18,01-MAR-24,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,-2.5298156848572564,0.11135857461023602,27.14,0,-1.77,0.67,23-May-2025,24-Apr-2026,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,0.11135857461023602,01-MAR-24,-2.5298156848572564,11.048812664907656,-11.538461538461535,https://nsearchives.nseindia.com/today/PVTBANIETFEQN.svg,https://nsearchives.nseindia.com/30d/PVTBANIETF-EQ.svg,https://nsearchives.nseindia.com/365d/PVTBANIETF-EQ.svg,EQ
